ID,Title,Author,Genre,BookCategory,Price,Reviews-n,Ratings-n,hard-paper,year,month,Synopsis
207,Bleach Box Set 3: Includes vols. 49-74 with premium (Bleach Box Sets),Tite Kubo,Mangas,Comics & Mangas,3.954242509,5,1,Paperback,2018,Nov,"Part-time student, full-time Soul Reaper, Ichigo is one of the chosen few guardians of the afterlife.

Ichigo Kurosaki never asked for the ability to see ghosts—he was born with the gift. When his family is attacked by a Hollow—a malevolent lost soul—Ichigo becomes a Soul Reaper, dedicating his life to protecting the innocent and helping the tortured spirits themselves find peace. Find out why Tite Kubo’s Bleach has become an international manga smash-hit!

The third and final Bleach manga box set. This set completes the series, featuring volumes 49-74 at a substantial savings over buying them individually, along with an exclusive booklet containing a cover art gallery and author interview, as well as a full-color, double-sided poster."
2480,Homer Kelley's Golfing Machine: The Curious Quest That Solved Golf,Scott Gummer,Baseball (Books),Sports,3.863501301,4,1,Paperback,2010,May,"The remarkable true story of a lone genius whose quest to unlock the science behind the perfect swing changed golf forever

In 1939, Homer Kelley played golf for the first time and scored 116. Frustrated, he did not play again for six months; when he did he carded a 77. Determined to understand why he was able to shave nearly 40 strokes off his score, Kelley spent three decades of trial and error to unlock the answer and to recapture that one wonderful day when golf was easy and enjoyable. In 1969, Kelley self- published his findings in The Golfing Machine: The Computer Age Approach to Golfing Perfection.

The bestselling instruction books of the day required golfers to conform their swings to the author's ideals, but Homer Kelley configured swings to fit every golfer. He found an enthusiastic disciple in a Seattle teaching pro named Ben Doyle, who in turn found an eager student in 13-year-old prodigy Bobby Clampett. Clampett's initial success in amateur golf shined a bright spotlight on Homer Kelley and The Golfing Machine, but when the young star suffered a painfully public collapse and faltered as a pro, critics were quick to blast Kelley and his complex and controversial ideas. With exclusive access to Homer Kelley's archives, author Scott Gummer paints a fascinating picture of the man behind the machine, the ultimate outsider who changed the game once and for all of us."
3727,The Sandman Omnibus Vol. 2,Neil Gaiman,Comics,Comics & Mangas,3.857091155,5,4,Hardcover,2013,Nov,"A New York Times bestseller!

The Sandman is the universally lauded masterwork following Morpheus, Lord of the Dreaming—a vast hallucinatory landscape housing all the dreams of any and everyone who's ever existed. Regardless of cultures or historical eras, all dreamers visit Morpheus' realm—be they gods, demons, muses, mythical creatures, or simply humans who teach Morpheus some surprising lessons.

In this epic tale, Delirium, youngest of the Endless, prevails upon the Sandman to help her find their errant brother, Destruction. But their quest will lead to a painful reunion between Morpheus and his son, Orpheus. Then, the Sandman and others are trapped in a mysterious inn while a tempest rages—and all they can do to while away the time is tell the stories of their lives. And when a young woman's baby is stolen, she turns to The Kindly Ones for vengeance—only to set off a series of events that will lead the Sandman to his ultimate fate, and the baby to find a destiny no one could have foretold.

This massive hardcover tome, over 1000 pages, collects the final 38 issues of Neil Gaiman's groundbreaking series.

Collects The Sandman #38-75 plus stories from Vertigo Jam #1 and Vertigo: Winter's Edge #3."
4138,The Tintin Collection: The Adventure of Tintin (The Adventures of Tintin - Compact Editions),Hergé,Comics & Mangas (Books),"Arts, Film & Photography",3.775901579,4,52,Hardcover,2015,May,"Adventures of Tintin have been lauded by both serious readers of books and lovers of comic books. The adventures are full of good story plots that are often based on political turmoil in smaller countries, or those far away from a staid Belgium. Tintin often finds himself in serious trouble in the line of duty as a boy reporter for a newspaper. He has his faithful dog Snowy to help him on his adventures. Much later, he is joined by Captain Haddock, a hard drinking, curse spewing Captain. After they discover a treasure that belonged to Captain Haddock, they live in Marlinspike Hall, where criminals often come calling, trying to create trouble.
Professor Calculus, an absent minded genius also falls in with them, sometimes creating more trouble and sometimes helping them. Bianca Castafiore is a recurring character. She is an Opera singer and is often used as comic relief.
The comics based on Tintin's adventure has sold over 200 million copies. It has been translated into numerous languages from the original French that it was written in. Drawn in Herge's trademark Ligne Claire (Clear Line) they have won not only the hearts of the masses but also the admiration of discerning classes.
About the author:
Herge is the pen name of Georges Prosper Remi was born in Belgium in 1907. He started his career as a cartoonist by submitting illustrations to newspapers. In 1926 he created his first comic series called Tintin. It revolved around a boy reporter Tintin and his dog Snowy. Soon the series was printed in book form. His series of illustrations were being published even when Belgium was under Nazi occupation. For this, he often faced charges of being a Nazi collaborator. In 1946 he established Tintin magazine and serialised adventures of Tintin in it. His beautiful drawings in Tintin have ensured immortality to him. The series is acknowledged as the best Cartoon series ever."
2696,Tales from the Indian Jungle,Kenneth Anderson,Action & Adventure (Books),Action & Adventure,3.748265573,4.7,15,Paperback,2001,Dec,"Ace hunter and wildlife chronicler Kenneth Anderson recalls real life jungle tales, some macabre and some incredible, of adventures in pursuit of man eating tigers and leopards. He brings the animal and human characters alive against the background of the jungle and the excitement and danger their co - existence generates."
1060,Discovering Statistics Using R,Andy Field,Software & Business Applications (Books),"Computing, Internet & Digital Media",3.720490068,3.9,2,Paperback,1900,Mar,"Lecturers - request an e-inspection copy of this text or contact your local SAGE representative to discuss your course needs.

Watch Andy Field's introductory video to Discovering Statistics Using R
Keeping the uniquely humorous and self-deprecating style that has made students across the world fall in love with Andy Field's books, Discovering Statistics Using R takes students on a journey of statistical discovery using R, a free, flexible and dynamically changing software tool for data analysis that is becoming increasingly popular across the social and behavioural sciences throughout the world.
The journey begins by explaining basic statistical and research concepts before a guided tour of the R software environment. Next you discover the importance of exploring and graphing data, before moving onto statistical tests that are the foundations of the rest of the book (for example correlation and regression). You will then stride confidently into intermediate level analyses such as ANOVA, before ending your journey with advanced techniques such as MANOVA and multilevel models. Although there is enough theory to help you gain the necessary conceptual understanding of what you're doing, the emphasis is on applying what you learn to playful and real-world examples that should make the experience more fun than you might expect.
Like its sister textbooks, Discovering Statistics Using R is written in an irreverent style and follows the same ground-breaking structure and pedagogical approach. The core material is augmented by a cast of characters to help the reader on their way, together with hundreds of examples, self-assessment tests to consolidate knowledge, and additional website material for those wanting to learn more.
Given this book's accessibility, fun spirit, and use of bizarre real-world research it should be essential for anyone wanting to learn about statistics using the freely-available R software."
4904,ABAP Development for SAP HANA,"Thorsten Schneider, et al.",Networks & System Administration (Books),"Computing, Internet & Digital Media",3.632760888,4.5,5,Hardcover,2016,Jun,"See how SAP HANA has changed ABAP! Whether you are a newbie or an old-hat, you can learn to design simple and advanced SAP HANA applications with ABAP by using this comprehensive guide. Learn to enable code pushdown, use new Open SQL enhancements and CD5 views, and integrate native SAP HANA objects. Use detailed programming examples to develop database procedures and optimize your applications. You'll be programming for SAP HANA in no time."
4500,The Immigrants (Immigrants Saga),Howard Fast,Romance (Books),Romance,3.625826713,4,1,Paperback,2000,Aug,"Don Lavette, the son of an Italian fisherman, battles from the ruins of the San Francisco earthquake to build a fortune in the shipping industry. Rising to success he risks all for the exotic beauty of a woman who shares his secret passion."
1658,SAPUI5: The Comprehensive Guide,Christiane Goebels,Software & Business Applications (Books),"Computing, Internet & Digital Media",3.59670703,4.5,5,Hardcover,2016,Sep,"Transform your apps from simple Hello, World examples to enterprise-grade applications with this guide to SAPUI5. From to , get the know-how to develop MVC apps, use OData, create data bindings, debug and test code, and more. Learn the dos and don'ts of SAPUIS and everything in between, whether you're implementing CRUD operations or writing your own controls. The dawn of the user is here. Can your apps keep up? Highlights include: Design and build apps. MVC. Models and data binding. OData. CRUD and REST. Debug and test. App deployment. Eclipse. SAP web IDE. SAP Fiori. SAP HANA Cloud Platform."
4204,The Wisden Book of Test Cricket (1977-2000) - Vol. 2,Bill Frindall,Cricket (Books),Sports,3.593507589,5,1,Hardcover,2010,None,"The Wisden Book of Test Cricket, first published in 1979, is well established as an invaluable and unique source of reference essential to any cricket library. This new volume includes full scorecards and match reports from 1977 to 2000. Originally edited by Bill Frindall, this new volume brings collectors' libraries up to date, ensuring they have a complete and accurate record - essential for any truly self-respecting cricket enthusiast."
